,Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood,Adaptive_Rating
0,S00001,15,Female,High School,Machine Learning,171,4,67,2,89,1,51,Visual,1,0,1.4
1,S00002,49,Male,Undergraduate,Python Basics,156,4,64,0,94,1,92,Reading/Writing,5,0,3.0
2,S00003,20,Female,Undergraduate,Python Basics,217,2,55,2,67,1,45,Reading/Writing,1,0,1.4
3,S00004,37,Female,Undergraduate,Data Science,489,1,65,43,60,2,59,Visual,4,0,4.2
4,S00005,34,Female,Postgraduate,Python Basics,496,3,59,34,88,1,93,Visual,3,0,2.2
5,S00006,34,Male,Undergraduate,Web Development,184,1,87,34,70,1,43,Visual,4,0,2.6
6,S00007,45,Male,High School,Cybersecurity,454,3,69,46,83,0,37,Kinesthetic,5,0,1.0
7,S00008,47,Male,High School,Cybersecurity,425,2,62,23,52,2,35,Reading/Writing,5,0,5.0
8,S00009,48,Male,Undergraduate,Cybersecurity,359,1,59,10,88,1,49,Reading/Writing,2,0,1.8
9,S00010,45,Female,Undergraduate,Data Science,263,4,63,30,99,0,61,Auditory,3,0,1.0
10,S00011,29,Male,Postgraduate,Data Science,247,1,80,42,85,2,46,Visual,3,0,3.4
11,S00012,48,Male,Undergraduate,Python Basics,25,1,77,36,58,2,83,Reading/Writing,4,0,4.2
12,S00013,35,Male,High School,Python Basics,190,2,97,4,50,1,55,Auditory,3,1,1.0
13,S00014,29,Female,Undergraduate,Machine Learning,240,2,97,31,99,1,61,Kinesthetic,3,0,2.2
14,S00015,16,Male,High School,Data Science,157,1,30,46,73,1,49,Auditory,4,0,2.6
15,S00016,44,Male,Postgraduate,Python Basics,312,4,53,21,90,2,78,Kinesthetic,4,0,4.2
16,S00017,37,Male,High School,Machine Learning,239,1,83,44,65,2,53,Auditory,2,0,2.6
